X1,Colleague,Second Colleague,Source,Year,Authors,Title,Transplant Interaction,Multiple Levels of EcoReality?,Donor Taxon,Donor Taxon Details,Cultured?,Recipient Taxon,Recipient Taxon Details,Eco-Reality Taxon Match,Number of Treatment Groups,Number of Individuals per Group,DNA Extraction Method,Sequencing Approach,Eco-Reality of Donor Microbiome (1-3),Justification/Description for Donor Microbiome,Eco-Reality of Donor Environment (1-5),Justification/Description for Donor Environment,Eco-Reality of Donor Physiology (1-2),Justification/Description for Donor Physiology,Eco-Reality of Recipient Microbiome (1-5),Justification/Description for Recipient Microbiome,Eco-Reality of Recipient Environment (1-5),Justification/Description for Recipient Environment,Eco-Reality of Recipient Physiology (1-2),Justification/Description for Recipient Physiology,Eco-Reality of Transplant Method (1-2),Justification/Description for Transplant Method,Eco-Reality of Housing Method (1-2),Justification/Description for Housing Method,Microbial Response,Microbial Category,Physiological Response,Phys Category,Data Plots,Experiment Synopsis,Second Colleague Differences,X43
Seedorf2014,Karl,Everyone,Web of Science,2014,"Seedorf, H; Griffin, NW; Ridaura, VK; Reyes, A; Cheng, JY; Rey, FE; Smith, MI; Simon, GM; Scheffrahn, RH; Woebken, D; Spormann, AM; Van Treuren, W; Ursell, LK; Pirrung, M; Robbins-Pianka, A; Cantarel, BL; Lombard, V; Henrissat, B; Knight, R; Gordon, JI",Bacteria from Diverse Habitats Colonize and Compete in the Mouse Gut,7,Y,termite,NA,No,mouse,NA,Mismatch,1,5,The crude DNA suspension was subsequently purified with the DNeasy Blood & Tissue Kit (QIAGEN). DNA isolated from soil and microbial mat samples was purified further to remove PCR inhibitors using the QIAquick Gel Extraction Kit (QIAGEN).,"Multiplex Pyrosequencing of Amplicons Generated from the V2 Region of Bacterial 16S rRNA Genes and Analyses of the Resulting Data Sets ∼330 bp amplicons, spanning variable region 2 (V2) of the gene were generated as described",3,"experiments). Hindguts were removed from their abdomens with sterile
forceps and for each experiment were pooled and homogenized in sterile mortar with a pestle.",ns,ns,ns,ns,1,we colonized germ-free mice,1-2?,"Male C57Bl/6J wild-type and Rag1−/− mice (Jackson Laboratory) and FVB/N Atbp4-tox176 transgenic mice (Syder et al., 1999) and their nontransgenic littermates were derived as GF and maintained in flexible plastic film isolators under a strict 12 hr light cycle (lights on at 0600). Unless indicated otherwise, animals were fed an autoclaved diet, low in fat and rich in plant polysaccharides (LF-HPP; B&K Universal) ad libitum.",2?,"Male C57Bl/6J wild-type and Rag1−/− mice (Jackson Laboratory) and FVB/N Atbp4-tox176 transgenic mice (Syder et al., 1999) and their nontransgenic littermates were derived as GF",1,"Once imported into the isolator, a 200 μl aliquot of the suspension was removed from the tube and gavaged into GF recipient mice.",1,maintained in flexible plastic film isolators,fig 2 + fig 3a,Beta Diversity + density,fig 3b-c,Metabolism,"Fig 2, Fig 3",Bacteria from these foreign environments colonized and persisted in the mouse gut; their capacity to metabolize dietary and host carbohydrates and bile acids correlated with colonization success.,NA,NA
Seedorf2014,Karl,Everyone,Web of Science,2014,"Seedorf, H; Griffin, NW; Ridaura, VK; Reyes, A; Cheng, JY; Rey, FE; Smith, MI; Simon, GM; Scheffrahn, RH; Woebken, D; Spormann, AM; Van Treuren, W; Ursell, LK; Pirrung, M; Robbins-Pianka, A; Cantarel, BL; Lombard, V; Henrissat, B; Knight, R; Gordon, JI",Bacteria from Diverse Habitats Colonize and Compete in the Mouse Gut,8,Y,microbial mat,NA,No,mouse,NA,Mismatch,1,5,The crude DNA suspension was subsequently purified with the DNeasy Blood & Tissue Kit (QIAGEN). DNA isolated from soil and microbial mat samples was purified further to remove PCR inhibitors using the QIAquick Gel Extraction Kit (QIAGEN).,"Multiplex Pyrosequencing of Amplicons Generated from the V2 Region of Bacterial 16S rRNA Genes and Analyses of the Resulting Data Sets ∼330 bp amplicons, spanning variable region 2 (V2) of the gene were generated as described",3,"Samples from a microbial mat were obtained from a site located close to Moss Landing, California, USA",ns,ns,ns,ns,1,we colonized germ-free mice,1-2?,"Male C57Bl/6J wild-type and Rag1−/− mice (Jackson Laboratory) and FVB/N Atbp4-tox176 transgenic mice (Syder et al., 1999) and their nontransgenic littermates were derived as GF and maintained in flexible plastic film isolators under a strict 12 hr light cycle (lights on at 0600). Unless indicated otherwise, animals were fed an autoclaved diet, low in fat and rich in plant polysaccharides (LF-HPP; B&K Universal) ad libitum.",2?,"Male C57Bl/6J wild-type and Rag1−/− mice (Jackson Laboratory) and FVB/N Atbp4-tox176 transgenic mice (Syder et al., 1999) and their nontransgenic littermates were derived as GF",1,"Once imported into the isolator, a 200 μl aliquot of the suspension was removed from the tube and gavaged into GF recipient mice.",1,maintained in flexible plastic film isolators,fig 2 + fig 3a,Beta Diversity + density,fig 3b-c,Metabolism,"Fig 2, Fig 3",Bacteria from these foreign environments colonized and persisted in the mouse gut; their capacity to metabolize dietary and host carbohydrates and bile acids correlated with colonization success.,NA,NA
Seedorf2014,Karl,Everyone,Web of Science,2014,"Seedorf, H; Griffin, NW; Ridaura, VK; Reyes, A; Cheng, JY; Rey, FE; Smith, MI; Simon, GM; Scheffrahn, RH; Woebken, D; Spormann, AM; Van Treuren, W; Ursell, LK; Pirrung, M; Robbins-Pianka, A; Cantarel, BL; Lombard, V; Henrissat, B; Knight, R; Gordon, JI",Bacteria from Diverse Habitats Colonize and Compete in the Mouse Gut,9,Y,microbial mat,NA,No,mouse,NA,Mismatch,1,5,The crude DNA suspension was subsequently purified with the DNeasy Blood & Tissue Kit (QIAGEN). DNA isolated from soil and microbial mat samples was purified further to remove PCR inhibitors using the QIAquick Gel Extraction Kit (QIAGEN).,"Multiplex Pyrosequencing of Amplicons Generated from the V2 Region of Bacterial 16S rRNA Genes and Analyses of the Resulting Data Sets ∼330 bp amplicons, spanning variable region 2 (V2) of the gene were generated as described",3,"Samples from a microbial mat were obtained from a site located close to Moss Landing, California, USA",ns,ns,ns,ns,1,we colonized germ-free mice,1-2?,"Male C57Bl/6J wild-type and Rag1−/− mice (Jackson Laboratory) and FVB/N Atbp4-tox176 transgenic mice (Syder et al., 1999) and their nontransgenic littermates were derived as GF and maintained in flexible plastic film isolators under a strict 12 hr light cycle (lights on at 0600). Unless indicated otherwise, animals were fed an autoclaved diet, low in fat and rich in plant polysaccharides (LF-HPP; B&K Universal) ad libitum.",2?,"Male C57Bl/6J wild-type and Rag1−/− mice (Jackson Laboratory) and FVB/N Atbp4-tox176 transgenic mice (Syder et al., 1999) and their nontransgenic littermates were derived as GF",1,"Once imported into the isolator, a 200 μl aliquot of the suspension was removed from the tube and gavaged into GF recipient mice.",1,maintained in flexible plastic film isolators,fig 2 + fig 3a,Beta Diversity + density,fig 3b-c,Metabolism,"Fig 2, Fig 3",Bacteria from these foreign environments colonized and persisted in the mouse gut; their capacity to metabolize dietary and host carbohydrates and bile acids correlated with colonization success.,NA,NA
Seedorf2014,Karl,Everyone,Web of Science,2014,"Seedorf, H; Griffin, NW; Ridaura, VK; Reyes, A; Cheng, JY; Rey, FE; Smith, MI; Simon, GM; Scheffrahn, RH; Woebken, D; Spormann, AM; Van Treuren, W; Ursell, LK; Pirrung, M; Robbins-Pianka, A; Cantarel, BL; Lombard, V; Henrissat, B; Knight, R; Gordon, JI",Bacteria from Diverse Habitats Colonize and Compete in the Mouse Gut,10,Y,microbial mat,NA,No,mouse,NA,Mismatch,1,5,The crude DNA suspension was subsequently purified with the DNeasy Blood & Tissue Kit (QIAGEN). DNA isolated from soil and microbial mat samples was purified further to remove PCR inhibitors using the QIAquick Gel Extraction Kit (QIAGEN).,"Multiplex Pyrosequencing of Amplicons Generated from the V2 Region of Bacterial 16S rRNA Genes and Analyses of the Resulting Data Sets ∼330 bp amplicons, spanning variable region 2 (V2) of the gene were generated as described",3,"Samples from a microbial mat were obtained from a site located close to Moss Landing, California, USA",ns,ns,ns,ns,1,we colonized germ-free mice,1-2?,"Male C57Bl/6J wild-type and Rag1−/− mice (Jackson Laboratory) and FVB/N Atbp4-tox176 transgenic mice (Syder et al., 1999) and their nontransgenic littermates were derived as GF and maintained in flexible plastic film isolators under a strict 12 hr light cycle (lights on at 0600). Unless indicated otherwise, animals were fed an autoclaved diet, low in fat and rich in plant polysaccharides (LF-HPP; B&K Universal) ad libitum.",2?,"Male C57Bl/6J wild-type and Rag1−/− mice (Jackson Laboratory) and FVB/N Atbp4-tox176 transgenic mice (Syder et al., 1999) and their nontransgenic littermates were derived as GF",1,"Once imported into the isolator, a 200 μl aliquot of the suspension was removed from the tube and gavaged into GF recipient mice.",1,maintained in flexible plastic film isolators,fig 2 + fig 3a,Beta Diversity + density,fig 3b-c,Metabolism,"Fig 2, Fig 3",Bacteria from these foreign environments colonized and persisted in the mouse gut; their capacity to metabolize dietary and host carbohydrates and bile acids correlated with colonization success.,NA,NA
Seedorf2014,Karl,Everyone,Web of Science,2014,"Seedorf, H; Griffin, NW; Ridaura, VK; Reyes, A; Cheng, JY; Rey, FE; Smith, MI; Simon, GM; Scheffrahn, RH; Woebken, D; Spormann, AM; Van Treuren, W; Ursell, LK; Pirrung, M; Robbins-Pianka, A; Cantarel, BL; Lombard, V; Henrissat, B; Knight, R; Gordon, JI",Bacteria from Diverse Habitats Colonize and Compete in the Mouse Gut,11,Y,soil,NA,No,mouse,NA,Mismatch,1,5,The crude DNA suspension was subsequently purified with the DNeasy Blood & Tissue Kit (QIAGEN). DNA isolated from soil and microbial mat samples was purified further to remove PCR inhibitors using the QIAquick Gel Extraction Kit (QIAGEN).,"Multiplex Pyrosequencing of Amplicons Generated from the V2 Region of Bacterial 16S rRNA Genes and Analyses of the Resulting Data Sets ∼330 bp amplicons, spanning variable region 2 (V2) of the gene were generated as described",3,"A soil sample, collected at Cedar Creek, Minnesota, USA",ns,ns,ns,ns,1,we colonized germ-free mice,1-2?,"Male C57Bl/6J wild-type and Rag1−/− mice (Jackson Laboratory) and FVB/N Atbp4-tox176 transgenic mice (Syder et al., 1999) and their nontransgenic littermates were derived as GF and maintained in flexible plastic film isolators under a strict 12 hr light cycle (lights on at 0600). Unless indicated otherwise, animals were fed an autoclaved diet, low in fat and rich in plant polysaccharides (LF-HPP; B&K Universal) ad libitum.",2?,"Male C57Bl/6J wild-type and Rag1−/− mice (Jackson Laboratory) and FVB/N Atbp4-tox176 transgenic mice (Syder et al., 1999) and their nontransgenic littermates were derived as GF",1,"Once imported into the isolator, a 200 μl aliquot of the suspension was removed from the tube and gavaged into GF recipient mice.",1,maintained in flexible plastic film isolators,fig 2 + fig 3a,Beta Diversity + density,fig 3b-c,Metabolism,"Fig 2, Fig 3",Bacteria from these foreign environments colonized and persisted in the mouse gut; their capacity to metabolize dietary and host carbohydrates and bile acids correlated with colonization success.,NA,NA
Li2015,Will,Karl,Web of Science,2015,"Li, M; Liang, P; Li, ZZ; Wang, Y; Zhang, GB; Gao, HW; Wen, S; Tang, L",Fecal microbiota transplantation and bacterial consortium transplantation have comparable effects on the re-establishment of mucosal barrier function in mice with intestinal dysbiosis,1,N,mouse,NA,No,mouse,NA,Match,4,120,"QIAamp DNA stool Mini Kit (Qiagen, GmbH Hilden, Germany) modified to contain a bead-beating step",Real time PCR,1,fresh feces was collected from 5 healthy BALB/cmice,NS,NA,2,Fresh feces was collected from 5 healthy BALB/c mice,2,"Toestablishthedysbiosismodel, mice were treated with 0.2 mL ceftriaxone sodium (400mg/mL) intra-gastrically twice a day with an interval of 6 h for7 days.",1,where they were maintained under specific pathogen-free conditions,1,"Toestablishthedysbiosismodel, mice were treated with 0.2 mL ceftriaxone sodium (400mg/mL) intra-gastrically twice a day with an interval of 6 h for7 days.",2,gavaged into each mouse 1 day atatime.,2,"All mice of the same experimental conditions were co-housed in a filter top cage, and given food and water ad libitum",Community composition,"Beta Diversity, Cell counts","immunohistochemistry, cell counts, intestine morphology","Whole Body, Histological",All plots,Compare two methods of transplantation,NA,NA
Bruce-Keller2015,Will,Tim,Prelim.,2015,"Bruce-Keller, et al.",Obese-type Gut Microbiota Induce Neurobehavioral Changes in the Absence of Obesity,1,N,mouse,High Fat Diet Mice,No,mouse,NA,Match,2,10,"QIAamp DNA stool Mini Kit (Qiagen, GmbH Hilden, Germany) modified to contain a bead-beating step",Illumina MiSeq 16S v3-v4,1,"Lab mice - conventionally housed, nonobese, male, on high fat or control diets",NS,NA,2,"8 week-old male C57Bl/6 mice (Jackson Laboratories) were fed high fat diet (60% fat calories, Research Diets D12492) for 10 weeks",3,"Lab mice - conventionally housed, nonobese, 8-week-old male, on high fat or control diets",1,sterile lab environment,2,Recipient 3 month-old male C57Bl/6 mice (Jackson Laboratories) were group-housed under standard laboratory conditions with free access to water and chow diet,1,daily oral gavage of donor microbiota (100 mL) for 3 days,2,Recipient 3 month-old male C57Bl/6 mice (Jackson Laboratories) were group-housed under standard laboratory conditions with free access to water and chow diet,"Relative abundance of each OTU

was examined at phylum, class, order, family, genus, and

species levels. Alpha (within a community) and beta (between

communities) diversity metrics as well as taxonomic community

assessments","Alpha Diversity, Beta Diversity","Intestinal
Permeability, Systemic Inflammation, and Brain
Inflammation","anxiety, exploratory behaviour, stereotypical behaviour,","PC plots, bar charts",test the hypothesis that obesity-associated changes in gut microbiota are intrinsically able to impair neurocognitive behavior in mice,NA,NA
Bruce-Keller2015,Will,Tim,Prelim.,2015,"Bruce-Keller, et al.",Obese-type Gut Microbiota Induce Neurobehavioral Changes in the Absence of Obesity,2,N,mouse,Control Mice,No,mouse,NA,Match,2,10,"QIAamp DNA stool Mini Kit (Qiagen, GmbH Hilden, Germany) modified to contain a bead-beating step",Illumina MiSeq 16S v3-v4,1,"Lab mice - conventionally housed, nonobese, male, on high fat or control diets",NS,NA,2,"8 week-old male C57Bl/6 mice (Jackson Laboratories) were given regular chow diet (13% fat calories, Purina LabDiet 5001) for 10 weeks",3,"Lab mice - conventionally housed, nonobese, 8-week-old male, on high fat or control diets",1,sterile lab environment,2,Recipient 3 month-old male C57Bl/6 mice (Jackson Laboratories) were group-housed under standard laboratory conditions with free access to water and chow diet,1,daily oral gavage of donor microbiota (100 mL) for 3 days,2,Recipient 3 month-old male C57Bl/6 mice (Jackson Laboratories) were group-housed under standard laboratory conditions with free access to water and chow diet,"Relative abundance of each OTU

was examined at phylum, class, order, family, genus, and

species levels. Alpha (within a community) and beta (between

communities) diversity metrics as well as taxonomic community

assessments","Alpha Diversity, Beta Diversity","Intestinal
Permeability, Systemic Inflammation, and Brain
Inflammation","anxiety, exploratory behaviour, stereotypical behaviour,","PC plots, bar charts",test the hypothesis that obesity-associated changes in gut microbiota are intrinsically able to impair neurocognitive behavior in mice,NA,NA
Di Luccia2015,Mason,Karl,Prelim.,2015,"Di Luccia, et al",Rescue of Fructose-Induced Metabolic Syndrome by Antibiotics or Faecal Transplantation in a Rat Model of Obesity,1,N,rat,NA,No,rat,NA,Match,2,30,Qiagen DNA Stool Minikit,Illumina MiSeq region not stated,3,Transplant of faecal from rats kept on a control diet.,2,Not germ free rats,2,"High-fructose diet, but otherwase normal",3,Lab rats with an intact microbiome,3,rats housed in lab,2,Wildtype rats although kept on a high fructose diet,2,Oral gavage,2,Pair-fed,"Relative Abundance Class & Phylum, Chao1 diversity curve, Unifrac PCoA",Beta-diversity & Alpha Diversity,"Body Energy, Body Lipids, Epididymal fat, plasma non esterified fatty acid, % inhibitory effect of insulin on adipose tissue lipolysis, plasma glucose, p-Akt, plasma LPS, plasma TNF-a, lipid hydroperoxides, protein bound carbonyls",Metabolism & Immunity,"Fig. 1, Fig. 2, Fig. 3., Fig. 5","Rats were kept on a high-fructose diet, and then either provide antibiotics or a transplant from rats maintained on a control rat show diet",NA,NA
Näpflin2015,Mason,Karl,Google Scholar,2015,"Näpflin, Kathrin; Schmid-Hempel, Paul",Immune response and gut microbial community structure in bumblebees after microbiota transplants,1,N,Bumblebees,NA,No,Bumblebees,NA,Match,1,NS,Phenol-chloroform,Illumina MiSeq 16S v3-v3,4,Bee colonies originally sourced from wild,2,Laboratory hives,2,"caught from the wild, pathogen susceptible strain",1,Germ-free upon emergence,2,Colonies Kept in lab,2,"Wildtype, recipient pathogen resistant",2,Mixed into food,1,Individually housed,log-fold change in abundance,Beta-Diveristy,Genes associated with immunity,Gene expression & Whole Body,"Fig 2, Fig 2",Comparing relative abundance of the top OTU.,NA,NA
Hensley-McBain2016,Amy,Chris,Web of Science,2016,"Hensley-McBain, T; Zevin, AS; Manuzak, J; Smith, E; Gile, J; Miller, C; Agricola, B; Katze, M; Reeves, RK; Kraft, CS; Langevin, S; Klatt, NR",Effects of Fecal Microbial Transplantation on Microbiome and Immunity in Simian Immunodeficiency Virus-Infected Macaques,1,N,rhesus macaques,rhesus macaques,No,rhesus macaques,rhesus macaques,Match,1,6,RNA/DNA All-Prep kit (Qiagen,V3-V4 16s,3,Fresh feces from healthy captive macaques,2,"Stool samples from
healthy (SIV-negative) rhesus macaque donors also housed at the Wash-
ington National Primate Research Center (WaNPRC)",2,SIV negative healthy rhesus macaque,2,"infected with Simian HIV, exposued to antrivrals and then antibiotics",2,Lab colony,1,Infected with SIV,1,gavage into intestine,NS,does not say,Fecal transplant did not have a lasting impact on shifting the colon microbiome of SIV infected individuals,Relative abundance of top 20 genera,"Limited effect, ""health was improved"", but weak correlations. ""Despite the reversion to a microbiome similar to that pre-FMT, we observed enhanced Th17 and Th22 frequencies post-FMT treatment. Induction of Th17 and Th22 cells is important, given that these cells are essential in responding to bacterial and fungal pathogens and critical in maintaining the homeostasis of epithelial barriers (43_45). Additionally, during HIV and SIV infection, IL-17- and IL-22-producing cells are lost, and this is associated with damage to epithelial barrier integrity, inflammation, and pathogenic effects (32_34, 46). Although we observed no correlations between Th17 and Th22 frequencies and any specific bacterial population, the alterations observed may have been induced by minor populations or combinations of populations not represented in the overall microbiome composition detected. Additionally, we observed decreased intestinal CD4+ T cell activation post-FMT treatment. Body weight, cell counts, viral load","whole body, Immunity","Fig 2,3,4","Pilot study to determin if fecal transplant was well tolerated in macaques with SIV,",NA,several transplant experiments?
Twitchell2016,Amy,Chris,Web of Science,2016,"Twitchell, EL; Tin, C; Wen, K; Zhang, HS; Becker-Dreps, S; Azcarate-Peril, MA; Vilchez, S; Li, GH; Ramesh, A; Weiss, M; Lei, SH; Bui, T; Yang, XD; Schultz-Cherry, S; Yuan, LJ",Modeling human enteric dysbiosis and rotavirus immunity in gnotobiotic pigs,1,Y,human,human,No,pig,pig,Mismatch,2,"24 pigs in 4 groups, n = 6 per group",ZR Fecal DNA MiniPrep,V1-V2 16s,4,Feces from sick child or healthy human,5,Human Donor,1,treatment donor unhealthy (unhealthy could not seroconvert),1,germ free pigs,2,lab pig in lab,2,normal pigs,2,Oral gavage,1,in sterile isolator units,"Alpha diversity, measured by Shannon index, phylogenic diversity, observed species, and Chao 1 were compared between HHGM and UHGM pig groups (Table 2). Measurements of alpha diversity in HHGM pigs were significantly lower than those in UHGM pigs at post-inoculation day (PID) 28 and post-challenge day (PCD) 7. In addition, alpha diversity measurements decreased in HHGM pigs from PID28 to PCD7. There were no significant differences before or after challenge for the UHGM pigs. These results suggest that VirHRV challenge caused a greater disruption to the microbiota in HHGM pigs than in UHGM pigs. Beta diversity analysis was visualized with a PCoA plot based on unweighted UniFrac. Regardless of the time point, the microbiota from pigs with HHGM clustered in one group while samples from UHGM pigs formed another group (Fig. 3)","Alpha Diversity, Cell Counts","Immune system responses to rotovirus challenge after inoculation with healthy or unhealthy gut micriobiome. These data indicate that HHGM facilitated a stronger adaptive immune response to oral rotavirus vaccine than did UHGM. Evidently, UHGM pigs had higher viral shedding and more severe clinical signs compared to HHGM pigs after challenge with VirHRV.",Immunity,Fig 1-7,Germ free pigs inoculated with either unhealthy or healthy gut microbiome from human infants. Response to subsequent rotovirus challenge measured.,NA,NA
Twitchell2016,Amy,Chris,Web of Science,2016,"Twitchell, EL; Tin, C; Wen, K; Zhang, HS; Becker-Dreps, S; Azcarate-Peril, MA; Vilchez, S; Li, GH; Ramesh, A; Weiss, M; Lei, SH; Bui, T; Yang, XD; Schultz-Cherry, S; Yuan, LJ",Modeling human enteric dysbiosis and rotavirus immunity in gnotobiotic pigs,2,Y,human,human,No,pig,pig,Mismatch,2,"24 pigs in 4 groups, n = 6 per group",ZR Fecal DNA MiniPrep,V1-V2 16s,4,Feces from sick child or healthy human,5,Human Donor,2,treatment donor healthy (healthy could seroconvert),1,germ free pigs,2,lab pig in lab,2,normal pigs,2,Oral gavage,1,in sterile isolator units,"Alpha diversity, measured by Shannon index, phylogenic diversity, observed species, and Chao 1 were compared between HHGM and UHGM pig groups (Table 2). Measurements of alpha diversity in HHGM pigs were significantly lower than those in UHGM pigs at post-inoculation day (PID) 28 and post-challenge day (PCD) 7. In addition, alpha diversity measurements decreased in HHGM pigs from PID28 to PCD7. There were no significant differences before or after challenge for the UHGM pigs. These results suggest that VirHRV challenge caused a greater disruption to the microbiota in HHGM pigs than in UHGM pigs. Beta diversity analysis was visualized with a PCoA plot based on unweighted UniFrac. Regardless of the time point, the microbiota from pigs with HHGM clustered in one group while samples from UHGM pigs formed another group (Fig. 3)","Alpha Diversity, Cell Counts","Immune system responses to rotovirus challenge after inoculation with healthy or unhealthy gut micriobiome. These data indicate that HHGM facilitated a stronger adaptive immune response to oral rotavirus vaccine than did UHGM. Evidently, UHGM pigs had higher viral shedding and more severe clinical signs compared to HHGM pigs after challenge with VirHRV.",Immunity,Fig 1-7,Germ free pigs inoculated with either unhealthy or healthy gut microbiome from human infants. Response to subsequent rotovirus challenge measured.,NA,NA
Bindels2016,Amy,Karl,Web of Science,2016,"Bindels, LB; Neyrinck, AM; Claus, SP; Le Roy, CI; Grangette, C; Pot, B; Martinez, I; Walter, J; Cani, PD; Delzenne, NM",Synbiotic approach restores intestinal homeostasis and prolongs survival in leukaemic mice with cachexia,1,N,mouse,mouse,Yes,mouse,mouse,Match,2,8,QIAamp mini stool kit,V5-V6 16s Illumina,1,cultured Lactobacillus reuteri,NA,strain,NA,strain,3,Cancer model mouse,1,food was irradiated,1,Cancer model,2,Mixed into water,2,two mice per cage,"shifts in
the structure of the microbiota associated with
cancer development, and it revealed that the synbio-
tic approach counteracted some of those changes
(Figures 4 and 5, Supplementary Figure S5,
Supplementary Tables S3 and S4). At the genus
level, BaF injection was associated with the enrich-
ment of Parabacteroides, Clostridium XI, Anaero-
truncus and Escherichia, and the reduction of
Barnesiella, Lactobacillus, Blautia, Clostridium XIVb
and Parasutterella","Alpha Diversity, Beta Diversity,","Metabolomics were conducted, but only hypotheses generated.  Weightloss in response to cancer (microbiome shift) was monitored. Microbe treatment decreases morbitity, decreases cancer-induced increase in liver weight.","Histological, Whole Body,Survival","Fig 3,4,5","Cancer mouse models fed single strain bacteria. First to determin cancer effect on microbiome, then to try and rescue.",NA,NA
Yoon2016,Amy,Mason,Web of Science,2016,"Yoon, MY; Min, KB; Lee, KM; Yoon, Y; Kim, Y; Oh, YT; Lee, K; Chun, J; Kim, BY; Yoon, SH; Lee, I; Kim, CY; Yoon, SS",A single gene of a commensal microbe affects host susceptibility to enteric infection,1,N,mouse,mouse,Yes,mouse,mouse,Match,4,5,QIAamp DNA Stool Mini Kit,Illumina MiSeq,1,"The indigenous E. coli strains termed typical E. coli (tEc) and
atypical E. coli (atEc) were isolated from CD-1 mouse intestines.",NA,strain,NA,strain,3,lab mice but not antibiotically perturbed,1,Mice were provided with irradiated food and sterile water,2,normal mice – although all subjected to cholera,2,treated orally once daily with 10^7 CFU of tEc or atEc cells for three days,2,"During the transplantation period, neonates were housed with their mothers.",bacterial loads were lower in control treatment. counted cholera load,cell count,none measured,none measured,"Fig 4,5",Examining the effect of transplantation of a E. coli strain that does not ferment lactose on the response to Vibrio cholerae. transplanted normal E. coli and other strain into mice (also a control) then added V. cholerae. measured cell counts of total bacteria and cholera.,NA,NA
Kelly2016,Amy,Tim,Web of Science,2016,"Kelly, JR; Borre, Y; Brien, CO; Patterson, E; El Aidy, S; Deane, J; Kennedy, PJ; Beers, S; Scott, K; Moloney, G; Hoban, AE; Scott, L; Fitzgerald, P; Ross, P; Stanton, C; Clarke, G; Cryan, JF; Dinan, TG",Transferring the blues: Depression-associated gut microbiota induces neurobehavioural changes in the rat,1,N,human,human,No,rat,Sprague-Dawley,Mismatch,2,"n = 15 control, 13 treated rats","Extracted Fecal DNA was prepared for sequencing on the Illumina Miseq platform. The concentration of SCFA was measured using a Varian 3800 GC flame ionization system, fitted with a ZB-FFAP column (30 m _ 0.32 mm _ 0.25 mm; Sigma)",Illumina MiSeq,3,Feces from depressed or healthy uman,5,humans still in “wild”,2,healthy but half are depressed,2,Antibiotic treated prior to oral gavage of donor microbiota,2,does not say whether sterile or not – assumed to be not sterile,2,"Lab rats, other than antibiotic, nt diseased",1,Oral Gavage,NS,does not say,"In depressed humans: characterizing microbes: Altered Gut Microbiota Composition, Diversity & Richness in depressed patients. There was a significant reduction in richness as measured by (A) Chao1, (p = 0.005) and (B) Total observed species, (p = 0.002). The depressed group showed reduced (C) phylogenetic Diversity, (p = 0.001), but no significant differences in (D) Shannon diversity, (p = 0.197). (E) The significant differences at genus level between the depressed group and the controls which cluster by group in a Redundancy analysis (RDA) plot (p = 0.03). (F) Significant Family level differences and (G) significant genus level differences between depressed patients and healthy controls in % relative abundances.","Alpha Diversity, Beta Diversity, family level relative abundance","Behavioural and physiological responses in treated rats: decreased securose preferences, boldness on elevated plus maze, decrease time in center of open field, increase in Kynurenine/Tryptophae ratio, increase CRP, no change in CORT or LPS","Behaviour, Hormones, Physiological.","Fig 4,5",Testing the causal linkages between depression and microbiota. transplanted feaces from non-depressed and depressed people into rats. tested change in behavioural responses and hormonal changes.,NA,NA
Tian2016,Amy,Tim,Web of Science,2016,"Tian, ZH; Liu, J; Liao, MY; Li, WJ; Zou, JQ; Han, XX; Kuang, MJ; Shen, WQ; Li, HD",Beneficial Effects of Fecal Microbiota Transplantation on Ulcerative Colitis in Mice,1,Y,mouse,mouse,No,mouse,mouse,Match,2,12,"Colons were cut into pieces and homogenized in DulbeccoÕs phosphate-buffered saline (DPBS). Tissue debris and bacteria were separated by differential centrifugation (100g for 5Êmin followed by 15,000g for 10Êmin at 4Ê¡C). The final bacteria pellets were resuspended in 1Ê% Triton X-100, heated in boiling water for 5Êmin and cooled immediately in ice water.",Relative quantity of four representative bacteria was measured by qPCR. The results were expressed as the relative amount of target DNA normalized to a common sequence and relative to the normal control samples (from littermates not treated with DSS or FMT),3,Fresh feces pooled from six healthy donor lab mice of same strain as recipient,2,mice in lab conditions – not stated whether sterile – assumed not sterile conditions,2,healthy mice,3,no antibiotics given to mice,2,mice in lab conditions – not stated whether sterile – assumed not sterile conditions,1,half were dextransodium sufate – induced ulcerative colitis (other half control),1,Injection into colon,1,Individually housed,"We sampled total DNA in distal colon and used quantitative PCR (qPCR) to quantify four representative bacteria: Bacteroides, Bifidobacterium, Escherichia coli (E. coli) and Lactobacillus. Compared to the normal control (without DSS or FMT), the relative quantity of Bacteroides, Lactobacillus and E. coli increased significantly (P < 0.01) while that of Bifidobacterium decreased significantly (P < 0.01) in DSS-treated samples (without FMT, DSS _ FMT). FMT (DSS + FMT) reversed the DSS effects significantly (P < 0.01) for all the bacteria tested except Bacteroides, which showed further significantly increase (P < 0.01). Further significant change could be observed for E. coli 5 days after FMT ended (remission, compared with DSS + FMT, P < 0.01)",Alpha Diversity,"Fecal transplant rescued lymphocyte increase after DSS treatment; interleukin 6, 1, ILK-gamma increased after DSS, and decreased back to control with fecal transplant.","Body Mass, survival, histology","Fig 1,2","Induction of colitis in mice, treatment/recovery with fecal transplant",NA,NA
